question,answer
What is OOP?,"Object-Oriented Programming (OOP) is a programming paradigm that organizes code around objects and classes. It promotes modularity, reusability, and maintainability through four core principles: Encapsulation, Abstraction, Inheritance, and Polymorphism."
Explain polymorphism,"Polymorphism means 'many forms'. It allows a single interface to represent different underlying data types. In Java, it occurs via method overloading (compile-time) and method overriding (runtime), making code flexible and extensible."
What is inheritance in Java?,"Inheritance allows one class (child/subclass) to acquire the properties and methods of another class (parent/superclass) using the 'extends' keyword. It promotes code reuse and establishes an IS-A relationship between classes."
What is encapsulation?,"Encapsulation is the bundling of data (variables) and methods that operate on that data into a single unit (class), while restricting direct access to internal state using access modifiers like private, protected, and public."
What is abstraction?,"Abstraction hides complex implementation details and shows only the essential features of an object. In Java, it is achieved through abstract classes and interfaces, allowing programmers to focus on what an object does rather than how it does it."
What is a class in Java?,"A class is a blueprint or template for creating objects. It defines the properties (fields) and behaviors (methods) that the objects created from it will have."
What is an object in Java?,"An object is an instance of a class. It has a state (defined by its attributes) and behavior (defined by its methods). Objects interact with each other to build applications."
What is an interface in Java?,"An interface is a reference type in Java that contains only abstract methods (prior to Java 8) and constants. A class implements an interface to guarantee it provides specific behaviors. From Java 8+, interfaces can have default and static methods."
What is an abstract class?,"An abstract class cannot be instantiated directly. It may contain abstract methods (without body) and concrete methods (with body). Subclasses must implement all abstract methods. It is used to provide a common base with shared logic."
Difference between abstract class and interface?,"An abstract class can have constructors, instance variables, and both abstract and concrete methods, allowing partial implementation. An interface traditionally only declares method signatures (a contract). A class can implement multiple interfaces but extend only one abstract class."
What is method overloading?,"Method overloading allows multiple methods in the same class to have the same name but different parameters (different type, number, or order). It is resolved at compile time and is an example of compile-time polymorphism."
What is method overriding?,"Method overriding allows a subclass to provide a specific implementation of a method that is already defined in its superclass. The method must have the same name, return type, and parameters. It is resolved at runtime (runtime polymorphism)."
What is a constructor?,"A constructor is a special method used to initialize objects. It has the same name as the class and no return type. Java provides a default constructor if none is defined. Constructors can be overloaded."
What is the difference between == and equals() in Java?,"== compares object references (memory addresses), while equals() compares the actual content (values) of objects. For strings, always use equals() to compare values."
What is the JVM?,"The Java Virtual Machine (JVM) is an abstract machine that provides a runtime environment to execute Java bytecode. It makes Java platform-independent by converting bytecode into machine-specific code."
What is the difference between JDK, JRE, and JVM?,"JVM (Java Virtual Machine) executes bytecode. JRE (Java Runtime Environment) includes JVM plus libraries needed to run Java programs. JDK (Java Development Kit) includes JRE plus development tools like the compiler (javac)."
What is garbage collection in Java?,"Garbage collection is the automatic process of identifying and freeing memory occupied by objects that are no longer referenced. Java handles memory management automatically through the garbage collector, preventing memory leaks."
What is a static method?,"A static method belongs to the class rather than to any instance. It can be called without creating an object. Static methods can only directly access other static members of the class."
What is the final keyword in Java?,"The 'final' keyword can be applied to variables (making them constants), methods (preventing overriding), and classes (preventing inheritance). A final variable must be initialized once and cannot be reassigned."
What is exception handling in Java?,"Exception handling is a mechanism to handle runtime errors gracefully using try, catch, finally, throw, and throws keywords. It prevents program crashes and allows the developer to define custom error-handling logic."
